MC_PITCHRATE_P,0.03,0.08,0.15
MC_PITCH_P,3.3,6.5,9.3
MC_ROLLRATE_P,0.08,0.15,0.5
MC_ROLL_P,0.1,6.5,12
MC_PITCHRATE_D,0,0.003,0.01
MC_PITCHRATE_K,0.505,1,3
MC_ROLLRATE_D,0,0.0003,0.01
MC_PITCHRATE_MAX,110,220,1800
